uid,isbn,rating
112280,0440234743,0
113328,0440234743,10
114544,0440234743,0
115003,0440234743,0
115120,0440234743,0
116127,0440234743,8
116428,0440234743,0
117594,0440234743,0
118659,0440234743,8
119332,0440234743,0
120396,0440234743,10
120771,0440234743,8
122251,0440234743,7
122440,0440234743,9
122658,0440234743,0
123137,0440234743,7
123430,0440234743,5
123790,0440234743,0
123981,0440234743,0
124259,0440234743,0
124363,0440234743,0
124487,0440234743,10
125039,0440234743,0
125519,0440234743,8
126492,0440234743,0
127200,0440234743,0
128185,0440234743,6
128208,0440234743,0
128463,0440234743,7
129084,0440234743,0
130784,0440234743,8
131046,0440234743,0
131681,0440234743,9
131703,0440234743,9
131837,0440234743,0
132144,0440234743,9
133706,0440234743,8
133738,0440234743,0
134264,0440234743,0
134797,0440234743,8
134863,0440234743,8
135149,0440234743,0
135831,0440234743,0
136096,0440234743,0
136396,0440234743,0
136707,0440234743,6
137589,0440234743,0
140824,0440234743,0
141444,0440234743,0
142093,0440234743,0
143134,0440234743,10
143253,0440234743,0
143939,0440234743,9
144062,0440234743,10
144255,0440234743,5
144478,0440234743,0
144531,0440234743,0
145619,0440234743,0
146113,0440234743,0
146279,0440234743,8
146816,0440234743,10
147965,0440234743,0
148879,0440234743,0
149120,0440234743,7
150400,0440234743,10
150896,0440234743,0
151004,0440234743,9
151063,0440234743,10
152354,0440234743,0
152696,0440234743,0
153513,0440234743,6
153718,0440234743,0
154730,0440234743,7
155495,0440234743,0
156300,0440234743,0
159440,0440234743,0
159506,0440234743,8
160735,0440234743,7
160819,0440234743,0
161870,0440234743,5
163194,0440234743,7
163693,0440234743,6
164323,0440234743,0
165618,0440234743,7
165842,0440234743,7
165884,0440234743,7
166391,0440234743,10
167038,0440234743,9
167800,0440234743,0
168132,0440234743,0
169403,0440234743,0
170518,0440234743,0
170580,0440234743,8
171078,0440234743,0
172539,0440234743,0
172742,0440234743,0
173415,0440234743,0
173684,0440234743,0
174642,0440234743,0
175117,0440234743,0
176477,0440234743,0
176709,0440234743,0
176790,0440234743,0
176894,0440234743,0
178130,0440234743,0
179068,0440234743,0
181519,0440234743,0
182459,0440234743,0
182746,0440234743,5
185384,0440234743,0
185722,0440234743,0
186570,0440234743,0
187266,0440234743,0
187533,0440234743,7
187944,0440234743,6
189655,0440234743,9
190741,0440234743,0
192353,0440234743,0
192399,0440234743,6
192621,0440234743,0
193529,0440234743,7
193898,0440234743,9
195347,0440234743,7
195469,0440234743,0
195694,0440234743,0
197364,0440234743,0
197659,0440234743,0
198046,0440234743,8
198412,0440234743,0
198483,0440234743,10
198711,0440234743,0
199092,0440234743,3
199640,0440234743,0
200234,0440234743,0
200402,0440234743,8
200674,0440234743,0
201548,0440234743,0
202619,0440234743,0
203649,0440234743,0
203968,0440234743,0
204504,0440234743,6
205963,0440234743,9
206423,0440234743,4
207259,0440234743,0
207291,0440234743,0
207782,0440234743,0
207825,0440234743,7
208147,0440234743,0
208607,0440234743,0
210276,0440234743,0
210717,0440234743,5
210838,0440234743,0
211321,0440234743,8
212806,0440234743,0
213220,0440234743,0
213733,0440234743,0
213760,0440234743,0
214786,0440234743,9
215256,0440234743,5
215949,0440234743,0
216670,0440234743,8
216683,0440234743,9
217375,0440234743,0
217516,0440234743,8
217986,0440234743,0
218121,0440234743,8
221445,0440234743,0
222217,0440234743,4
223331,0440234743,7
224435,0440234743,0
224764,0440234743,0
225717,0440234743,0
225810,0440234743,0
225826,0440234743,0
225989,0440234743,0
226638,0440234743,0
227392,0440234743,7
228187,0440234743,0
229011,0440234743,7
229609,0440234743,0
230522,0440234743,0
231237,0440234743,0
231865,0440234743,0
232131,0440234743,7
232271,0440234743,0
232945,0440234743,9
233731,0440234743,7
234623,0440234743,0
235059,0440234743,0
235842,0440234743,0
235935,0440234743,0
236172,0440234743,10
240024,0440234743,0
240144,0440234743,0
240567,0440234743,5
240951,0440234743,10
241306,0440234743,0
241548,0440234743,0
241666,0440234743,8
241980,0440234743,9
242843,0440234743,0
242891,0440234743,0
243930,0440234743,9
244349,0440234743,0
244627,0440234743,10
244761,0440234743,6
245616,0440234743,10
245827,0440234743,0
245963,0440234743,0
246333,0440234743,0
246550,0440234743,0
246655,0440234743,0
249954,0440234743,0
250101,0440234743,9
250184,0440234743,0
251122,0440234743,9
251377,0440234743,0
251613,0440234743,0
251851,0440234743,0
252777,0440234743,0
253106,0440234743,0
254971,0440234743,0
255719,0440234743,0
256407,0440234743,0
256925,0440234743,8
258534,0440234743,8
258884,0440234743,5
259078,0440234743,8
259223,0440234743,8
259543,0440234743,6
259778,0440234743,0
259846,0440234743,10
260897,0440234743,0
261378,0440234743,8
261829,0440234743,0
262846,0440234743,0
263163,0440234743,0
